,source,polarity,subjectivity,(ukraine:length)*100,(war:length)*100,(russia:length)*100,(putin:length)*100,(zelensky:length)*100,link
45,Aljazeera,0.06517,0.44046,0.1493,0.064,0.2772,0.064,0.0,https://www.aljazeera.com/news/2023/2/21/putins-speech-on-the-state-of-war-what-exactly-did-he-say
46,Aljazeera,0.00157,0.23088,0.158,0.0,0.2765,0.0395,0.0,https://www.aljazeera.com/news/2023/2/21/russias-economy-contracted-2-1-in-2022
47,Aljazeera,0.08483,0.35867,0.1839,0.1226,0.4815,0.0438,0.0,https://www.aljazeera.com/news/2023/2/21/qa-dr-pavel-felgenhauer-russia-ukraine-war
48,Aljazeera,0.00658,0.26092,0.2749,0.1718,0.3093,0.0344,0.0,https://www.aljazeera.com/news/2023/2/21/russia-ukraine-war-list-of-key-events-day-363
49,Aljazeera,0.01627,0.28818,0.1546,0.1546,0.3091,0.0515,0.0,https://www.aljazeera.com/news/2023/2/21/china-deeply-concerned-over-ukraine-conflict
50,Aljazeera,0.10795,0.34209,0.1929,0.0827,0.2756,0.0,0.0,https://www.aljazeera.com/news/2023/2/20/russian-officials-denying-ammunition-to-wagner-fighters-founder
51,Aljazeera,0.12778,0.35682,0.3552,0.0789,0.1579,0.0197,0.0197,https://www.aljazeera.com/news/2023/2/20/389
52,Aljazeera,0.05143,0.3292,0.2446,0.2718,0.3534,0.0,0.0,https://www.aljazeera.com/news/2023/2/20/us-in-no-position-to-make-demands-china-slams-blinken-comments
53,Aljazeera,0.01707,0.34134,0.2483,0.0552,0.2483,0.1656,0.0828,https://www.aljazeera.com/news/2023/2/20/us-president-joe-biden-makes-unannounced-visit-to-ukraines-kyiv
54,Aljazeera,0.02267,0.4257,0.2546,0.201,0.3618,0.0134,0.0268,https://www.aljazeera.com/news/2023/2/20/measuring-militaries-how-do-russia-and-ukraine-stack-up
55,Aljazeera,0.07251,0.36115,0.2233,0.1116,0.2977,0.0,0.0372,https://www.aljazeera.com/news/2023/2/20/russia-ukraine-war-list-of-key-events-day-362
56,Aljazeera,0.04712,0.36637,0.2788,0.0697,0.244,0.0349,0.0,https://www.aljazeera.com/news/2023/2/19/russia-again-accuses-ukraine-of-planning-false-flag-attack
57,Aljazeera,0.04399,0.33178,0.0929,0.0619,0.3096,0.1238,0.0,https://www.aljazeera.com/news/2023/2/19/chechen-leader-kadyrov-lauds-wagners-hard-work-in-ukraine
58,Aljazeera,0.0811,0.3063,0.2354,0.2092,0.2354,0.0262,0.0523,https://www.aljazeera.com/news/2023/2/19/west-must-provide-more-military-support-to-ukraine-eus-borrell
59,Aljazeera,0.0906,0.36699,0.3246,0.0361,0.3967,0.0,0.0361,https://www.aljazeera.com/news/2023/2/19/russia-ukraine-war-list-of-key-events-day-361
60,Aljazeera,0.01591,0.27576,0.0787,0.0393,0.5114,0.0,0.0,https://www.aljazeera.com/news/2023/2/18/netherlands-orders-russian-diplomats-to-leave
61,Aljazeera,0.00873,0.32581,0.1958,0.2154,0.2546,0.0783,0.0,https://www.aljazeera.com/news/2023/2/18/us-russia-committing-crimes-against-humanity-in-ukraine
62,Aljazeera,0.02321,0.21101,0.287,0.2551,0.4145,0.0319,0.0638,https://www.aljazeera.com/news/2023/2/18/russia-ukraine-war-list-of-key-events-day-360
63,Aljazeera,0.00785,0.35812,0.1844,0.0527,0.2634,0.0,0.0,https://www.aljazeera.com/news/2023/2/18/russias-wagner-forces-suffered-30000-casualties-in-ukraine-us
64,Aljazeera,0.01591,0.34386,0.221,0.1105,0.1657,0.0276,0.1381,https://www.aljazeera.com/news/2023/2/17/zelenskyy-pushes-for-speedy-support-to-avoid-more-deaths
65,Aljazeera,0.03086,0.29717,0.0711,0.0996,0.4696,0.0427,0.0,https://www.aljazeera.com/news/2023/2/17/where-does-central-asia-stand-on-russia
66,Aljazeera,0.01455,0.27515,0.2535,0.1127,0.338,0.0282,0.2254,https://www.aljazeera.com/news/2023/2/17/ukraines-zelenskyy-says-putin-will-target-other-ex-soviet-states
67,Aljazeera,0.07344,0.31674,0.236,0.1349,0.3372,0.0,0.0337,https://www.aljazeera.com/news/2023/2/17/russia-ukraine-war-list-of-key-events-day-359
68,Aljazeera,0.0872,0.42287,0.3133,0.1305,0.4178,0.0,0.0261,https://www.aljazeera.com/news/2023/2/16/ukraine-pounded-by-fresh-missiles-russia-eyes-capturing-bakhmut
69,Aljazeera,0.08532,0.3434,0.1445,0.0826,0.3612,0.0,0.0206,https://www.aljazeera.com/news/2023/2/16/russia-surrounds-bakhmut-as-ukraine-sends-in-troops
70,Aljazeera,0.02375,0.2894,0.2607,0.0186,0.2235,0.0,0.0,https://www.aljazeera.com/news/2023/2/16/mapping-where-every-country-stands-on-the-russia-ukraine-war
