,source,polarity,subjectivity,(ukraine:length)*100,(war:length)*100,(russia:length)*100,(putin:length)*100,(zelensky:length)*100,link
73,BBC,0.04206,0.1877,0.2968,0.2698,0.1349,0.0,0.054,https://www.bbc.co.uk/news/world-europe-64593974
74,BBC,0.03535,0.42923,0.2806,0.2205,0.2205,0.02,0.02,https://www.bbc.co.uk/news/world-europe-64609944
75,BBC,0.06876,0.36652,0.1894,0.2178,0.3598,0.0568,0.0,https://www.bbc.co.uk/news/world-europe-64543618
76,BBC,0.01778,0.36943,0.3344,0.1584,0.1936,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64579267
77,BBC,0.02672,0.33746,0.2505,0.167,0.2839,0.0167,0.1002,https://www.bbc.co.uk/news/world-europe-64593488
78,BBC,0.07542,0.36186,0.2107,0.2107,0.0421,0.0,0.3371,https://www.bbc.co.uk/news/in-pictures-64573568
79,BBC,0.03689,0.42398,0.2702,0.2334,0.1842,0.0,0.1842,https://www.bbc.co.uk/news/world-europe-64577375
80,BBC,0.00241,0.35605,0.2622,0.2314,0.3548,0.0154,0.0,https://www.bbc.co.uk/news/world-europe-64429625
81,BBC,0.00877,0.32635,0.3102,0.2286,0.5224,0.0,0.0327,https://www.bbc.co.uk/news/world-europe-64551937
82,BBC,0.01216,0.3668,0.1871,0.1754,0.2222,0.0117,0.0,https://www.bbc.co.uk/news/world-europe-64523029
83,BBC,-0.01942,0.23415,0.4529,0.2516,0.151,0.0252,0.0,https://www.bbc.co.uk/news/world-europe-64201083
84,BBC,0.00593,0.20852,0.288,0.288,0.0864,0.0288,0.0,https://www.bbc.co.uk/news/world-europe-64201085
85,BBC,-0.0095,0.39084,0.2333,0.1944,0.2981,0.1814,0.0648,https://www.bbc.co.uk/news/world-europe-64502504
86,BBC,-0.01709,0.33621,0.2963,0.1411,0.127,0.0423,0.0,https://www.bbc.co.uk/news/world-europe-64329059
87,BBC,-0.06274,0.33111,0.1563,0.0977,0.166,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64431524
88,BBC,0.02946,0.38669,0.2998,0.1043,0.2477,0.013,0.0912,https://www.bbc.co.uk/news/world-europe-64518532
89,BBC,0.06572,0.39214,0.4227,0.2187,0.1749,0.0,0.0437,https://www.bbc.co.uk/news/world-europe-64461613
90,BBC,0.08143,0.36983,0.1261,0.1121,0.042,0.0,0.0,https://www.bbc.co.uk/news/world-asia-india-64315370
91,BBC,0.03781,0.4076,0.165,0.0858,0.0924,0.0066,0.0,https://www.bbc.co.uk/news/world-europe-64467774
92,BBC,0.05262,0.40255,0.2532,0.199,0.1809,0.0181,0.0,https://www.bbc.co.uk/news/uk-england-oxfordshire-64496576
93,BBC,0.04614,0.36463,0.2648,0.1387,0.3026,0.063,0.0378,https://www.bbc.co.uk/news/world-europe-64492938
94,BBC,-0.02464,0.2881,0.2411,0.1669,0.3895,0.0,0.1484,https://www.bbc.co.uk/news/world-europe-64448808
95,BBC,0.04658,0.34386,0.3054,0.1446,0.4339,0.0,0.0321,https://www.bbc.co.uk/news/world-europe-64616099
96,BBC,0.04529,0.44418,0.189,0.1512,0.0567,0.0,0.0,https://www.bbc.co.uk/news/uk-england-birmingham-64186324
97,BBC,0.04579,0.41948,0.2078,0.1712,0.2934,0.0122,0.0122,https://www.bbc.co.uk/news/world-europe-64455123
98,BBC,0.09952,0.29903,0.2709,0.2709,0.0813,0.0,0.0,https://www.bbc.co.uk/news/world-europe-63881946
99,BBC,0.05303,0.36619,0.1713,0.1557,0.1557,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64446436
